building,floor,name,x,y
pat20,1,,42.09303799682597,-71.26650484042901
pat20,1,,42.093041836091466,-71.26649190005271
pat20,1,,42.093045675186275,-71.26647896025165
pat20,1,,42.09304951411044,-71.26646602102578
pat20,1,,42.093053352863954,-71.26645308237511
pat20,1,,42.09313801795167,-71.26616771578648
pat20,1,,42.093060324100975,-71.26642688915352
pat20,1,,42.093095629476295,-71.26630789172354
pat20,1,,42.09312197118376,-71.26621910650427
pat20,1,,42.0931437645698,-71.26614295640901
pat20,1,,42.09308257451136,-71.26634110986902
pat20,1,,42.093104694677066,-71.26626116385515
pat20,1,,42.093121316420806,-71.26620514151298
pat20,1,,42.09308358871775,-71.26632690847408
pat20,1,,42.093123740277996,-71.26619158190151
pat20,1,,42.09309240876075,-71.26629179047937
pat20,1,,42.093087866402264,-71.26630440438514
pat20,1,,42.09312545826704,-71.26617770675489
pat20,1,,42.09305044415115,-71.26642244241417
pat20,1,,42.093111640913094,-71.26621349602063
pat20,1,,42.093017103364645,-71.26652672178426
pat20,1,,42.09305376259488,-71.26640047519071
pat20,1,,42.093057600534976,-71.26638754041998
pat20,1,,42.09313074464298,-71.26614102738391
pat20,1,,42.093094620830485,-71.2662546883154
pat20,1,,42.093084319852515,-71.26628131960524
pat20,1,,42.09301632193745,-71.26650778642006
pat20,1,,42.09302016131154,-71.2664948472359
pat20,1,,42.09302400051498,-71.26648190862689
pat20,1,,42.093027839547766,-71.26646897059294
pat20,1,,42.09303167840993,-71.26645603313406
pat20,1,,42.093043449856665,-71.26641636184559
pat20,1,,42.093034811510506,-71.26644277855729
pat20,1,,42.09304607068372,-71.26640483387214
pat20,1,,42.093074141710076,-71.26630214658624
pat20,1,,42.09306652968973,-71.2663251046525
pat20,1,,42.09307036666815,-71.26631217384144
pat20,1,,42.09310054495325,-71.26621047149656
pat20,1,,42.09305200958805,-71.26637134300252
pat20,1,,42.09303249372655,-71.26642902612232
pat20,1,,42.09307962753097,-71.26626749125255
pat20,1,,42.09308371950593,-71.26625370140955
pat20,1,,42.09306708617491,-71.26629897691441
pat20,1,,42.093084733390455,-71.26623950738504
pat20,1,,42.09305595485465,-71.26633109921075
pat20,1,,42.09311086542324,-71.26613797628421
pat20,1,,42.09308919471381,-71.2662083090359
pat20,1,,42.093048140508934,-71.2663412652293
pat20,1,,42.093099157033606,-71.2661639633305
pat20,1,,42.09311168375886,-71.26612175134716
